route_id,service_id,trip_id,trip_headsign,block_id,trip_short_name,direction_id,wheelchair_accessible,shape_id
国道・古川線(12212),平日,平日_09時12分_系統12212,A1中央大橋→青森駅（国道・古川線）,,,1,1,12212
造道・八重田線(49021),平日,平日_09時12分_系統49021,C11浅虫温泉駅（造道・八重田線）,,,0,1,49021
国道・古川線(25052),平日,平日_09時13分_系統25052,A1青森駅（国道・古川線）,,,1,1,25052
観光通り線(21171),平日,平日_09時15分_系統21171,K34市民病院（観光通り線）,,,0,1,21171
国道・古川線(35162),平日,平日_09時15分_系統35162,A1青森駅（国道・古川線）,,,1,1,35162
中筒井線(8021),平日,平日_09時15分_系統8021,J24田茂木沢（中筒井線）,,,0,0,8021
新町線(15032),平日,平日_09時15分_系統15032,B1中筒井→青森駅（新町線）,,,1,1,15032
国道・古川線(6152),平日,平日_09時17分_系統6152,A1小柳団地→青森駅（国道・古川線）,,,1,0,6152
石江・新城線(56101),平日,平日_09時17分_系統56101,T50東バイパス→西部〈営〉（石江・新城線）,,,1,1,56101
観光通り線(21021),平日,平日_09時18分_系統21021,K34市民病院（観光通り線）,,,0,1,21021
旭町通り線(33091),平日,平日_09時18分_系統33091,M44中大野→野木（旭町通り線）,,,0,1,33091
国道・古川線(6162),平日,平日_09時18分_系統6162,A1小柳団地→青森駅（国道・古川線）,,,1,0,6162
横内環状(14022),平日,平日_09時20分_系統14022,K32横内環状→青森駅（観光通り線）,,,1,1,14022
東バイパス線(56022),平日,平日_09時22分_系統56022,E10東部〈営〉（東バイパス線）,,,0,1,56022
石江・新城線(39321),平日,平日_09時22分_系統39321,T50西部〈営〉（石江・新城線）,,,0,0,39321
沖館・新田線(45021),平日,平日_09時24分_系統45021,W53野木和団地（沖館・新田線）,,,0,1,45021
沖館・新田線(42022),平日,平日_09時25分_系統42022,W53野木和団地（沖館・新田線）,,,0,0,42022
国道・古川線(24012),平日,平日_09時25分_系統24012,A1観光通り→青森駅（国道・古川線）,,,1,1,24012
観光通り線(17021),平日,平日_09時25分_系統17021,K30モヤヒルズ（観光通り線）,,,0,1,17021
国道・古川線(41131),平日,平日_09時26分_系統41131,A1西バイパス→青森駅（国道・古川線）,,,1,1,41131
松森・浜館線(12061),平日,平日_09時26分_系統12061,H21戸山団地（松森・浜館線）,,,0,1,12061
国道・古川線(1021),平日,平日_09時26分_系統1021,A1青森駅（国道・古川線）,,,1,1,1021
浪館通り線(35161),平日,平日_09時27分_系統35161,P40慈恵会病院（浪館通り線）,,,0,0,35161
造道・八重田線(44242),平日,平日_09時27分_系統44242,C10県病→東部〈営〉（造道・八重田線）,,,1,0,44242
造道・八重田線(45012),平日,平日_09時28分_系統45012,C10県病→東部〈営〉（造道・八重田線）,,,1,0,45012
石江・新城線(39081),平日,平日_09時29分_系統39081,T50西部〈営〉（石江・新城線）,,,0,1,39081
観光通り線(16031),平日,平日_09時30分_系統16031,K31公立大学（観光通り線）,,,0,0,16031
沖館・新田線(48232),平日,平日_09時30分_系統48232,W54後潟（沖館・新田線）,,,0,0,48232
新町線(12082),平日,平日_09時31分_系統12082,B1明の星→青森駅（新町線）,,,1,0,12082
小柳線(6161),平日,平日_09時32分_系統6161,F10東部〈営〉（小柳線(桜川経由)）,,,0,1,6161
石江・新城線(21032),平日,平日_09時32分_系統21032,T50西部〈営〉（石江・新城線）,,,1,0,21032
石江・新城線(39051),平日,平日_09時33分_系統39051,T50西部〈営〉（石江・新城線）,,,0,1,39051
